,petition_id,label_length,abstract_length,num_signatures
0,petiton_id_0,13,51,27
1,petiton_id_1,16,52,223
2,petiton_id_2,12,46,176
3,petiton_id_3,11,53,15
4,petiton_id_4,16,39,12
5,petiton_id_5,13,35,31
6,petiton_id_6,8,48,26
7,petiton_id_7,12,50,65
8,petiton_id_8,11,59,181
9,petiton_id_9,10,48,13
10,petiton_id_10,7,20,56
11,petiton_id_11,11,52,29463
12,petiton_id_12,11,37,21
13,petiton_id_13,13,48,43
14,petiton_id_14,17,60,58
15,petiton_id_15,10,42,221
16,petiton_id_16,9,34,526
17,petiton_id_17,14,41,1202
18,petiton_id_18,13,46,905
19,petiton_id_19,12,41,1164
20,petiton_id_20,12,48,28
21,petiton_id_21,11,30,16
22,petiton_id_22,8,49,60
23,petiton_id_23,12,47,8
24,petiton_id_24,14,53,91
25,petiton_id_25,11,50,272
26,petiton_id_26,8,56,267
27,petiton_id_27,12,38,793
28,petiton_id_28,9,40,28609
29,petiton_id_29,13,51,7
30,petiton_id_30,10,29,13
31,petiton_id_31,10,42,86
32,petiton_id_32,14,48,63
33,petiton_id_33,13,44,347
34,petiton_id_34,15,47,272
35,petiton_id_35,11,31,564
36,petiton_id_36,12,41,23
37,petiton_id_37,14,36,63
38,petiton_id_38,11,45,24015
39,petiton_id_39,12,46,442
40,petiton_id_40,13,52,49
41,petiton_id_41,6,62,127
42,petiton_id_42,12,23,83
43,petiton_id_43,8,48,35
44,petiton_id_44,12,50,13
45,petiton_id_45,10,47,2341
46,petiton_id_46,13,48,478
47,petiton_id_47,11,39,142
48,petiton_id_48,12,37,35
49,petiton_id_49,13,28,31
50,petiton_id_50,11,45,604
51,petiton_id_51,6,43,29
52,petiton_id_52,13,50,16
53,petiton_id_53,11,49,97
54,petiton_id_54,16,54,28
55,petiton_id_55,3,49,21
56,petiton_id_56,11,55,106
57,petiton_id_57,13,51,1175
58,petiton_id_58,8,19,251
59,petiton_id_59,14,39,6920
60,petiton_id_60,14,43,117
61,petiton_id_61,14,50,10
62,petiton_id_62,10,52,1918
63,petiton_id_63,12,49,78
64,petiton_id_64,15,48,1183
65,petiton_id_65,8,57,18
66,petiton_id_66,9,37,9
67,petiton_id_67,8,48,141
68,petiton_id_68,11,49,2246
69,petiton_id_69,11,49,58
70,petiton_id_70,7,48,28
71,petiton_id_71,14,51,106
72,petiton_id_72,6,52,17
73,petiton_id_73,15,45,15
74,petiton_id_74,15,51,139
75,petiton_id_75,11,49,11
76,petiton_id_76,7,49,10
77,petiton_id_77,7,32,296
78,petiton_id_78,9,45,128
79,petiton_id_79,13,51,6
80,petiton_id_80,15,46,13
81,petiton_id_81,12,49,60
82,petiton_id_82,10,22,168
83,petiton_id_83,12,45,5204
84,petiton_id_84,8,42,203
85,petiton_id_85,10,44,15
86,petiton_id_86,13,50,19012
87,petiton_id_87,8,49,30
88,petiton_id_88,10,46,200
89,petiton_id_89,9,53,98
90,petiton_id_90,12,48,32
91,petiton_id_91,13,35,96
92,petiton_id_92,7,35,64
93,petiton_id_93,11,32,65
94,petiton_id_94,8,53,7
95,petiton_id_95,10,47,96
96,petiton_id_96,14,46,51
97,petiton_id_97,14,62,7
98,petiton_id_98,13,46,18
99,petiton_id_99,13,26,14
100,petiton_id_100,13,47,14178
101,petiton_id_101,14,48,10
102,petiton_id_102,10,51,109
103,petiton_id_103,6,52,26
104,petiton_id_104,13,45,8
105,petiton_id_105,10,33,25
106,petiton_id_106,11,40,8
107,petiton_id_107,11,40,926
108,petiton_id_108,9,49,751
109,petiton_id_109,12,44,104
110,petiton_id_110,6,58,10
111,petiton_id_111,12,22,16
112,petiton_id_112,8,27,1370
113,petiton_id_113,9,45,1050
114,petiton_id_114,7,43,45
115,petiton_id_115,16,52,14
116,petiton_id_116,12,52,14
117,petiton_id_117,9,51,112
118,petiton_id_118,7,49,7
119,petiton_id_119,13,42,9
120,petiton_id_120,16,47,39
121,petiton_id_121,12,49,50
122,petiton_id_122,15,47,100
123,petiton_id_123,11,51,16
124,petiton_id_124,6,50,44
125,petiton_id_125,13,40,62
126,petiton_id_126,12,44,81
127,petiton_id_127,7,52,14
128,petiton_id_128,10,49,84
129,petiton_id_129,12,47,1357
130,petiton_id_130,8,32,12
131,petiton_id_131,14,56,1018
132,petiton_id_132,16,57,2351
133,petiton_id_133,13,49,76
134,petiton_id_134,12,38,12
135,petiton_id_135,14,52,510
136,petiton_id_136,10,48,31
137,petiton_id_137,8,32,17
138,petiton_id_138,9,46,28
139,petiton_id_139,13,43,16
140,petiton_id_140,8,42,958
141,petiton_id_141,11,40,48
142,petiton_id_142,12,44,8
143,petiton_id_143,12,54,2152
144,petiton_id_144,10,49,168
145,petiton_id_145,14,50,296
146,petiton_id_146,13,39,93
147,petiton_id_147,11,50,124
148,petiton_id_148,12,51,7
149,petiton_id_149,13,53,76
150,petiton_id_150,12,34,45
151,petiton_id_151,4,39,33655
152,petiton_id_152,12,48,15
153,petiton_id_153,15,54,26
154,petiton_id_154,10,50,10
155,petiton_id_155,5,50,8
156,petiton_id_156,11,46,206
157,petiton_id_157,10,39,16
158,petiton_id_158,7,42,32
159,petiton_id_159,10,42,7
160,petiton_id_160,12,33,50399
161,petiton_id_161,8,47,1661
162,petiton_id_162,12,50,664
163,petiton_id_163,11,39,3796
164,petiton_id_164,14,43,167
165,petiton_id_165,14,39,936
166,petiton_id_166,10,32,72
167,petiton_id_167,16,50,33
168,petiton_id_168,12,43,31
169,petiton_id_169,14,48,1896
170,petiton_id_170,11,48,48
171,petiton_id_171,7,13,17
172,petiton_id_172,13,55,55
173,petiton_id_173,8,14,596875
174,petiton_id_174,12,43,10
175,petiton_id_175,11,43,14
176,petiton_id_176,14,55,27
177,petiton_id_177,13,60,36
178,petiton_id_178,11,48,540
179,petiton_id_179,13,42,11
180,petiton_id_180,13,51,90
181,petiton_id_181,15,54,9287
182,petiton_id_182,10,41,94
183,petiton_id_183,12,47,14
184,petiton_id_184,8,50,11
185,petiton_id_185,12,52,239
186,petiton_id_186,7,41,96
187,petiton_id_187,11,33,20
188,petiton_id_188,13,51,17
189,petiton_id_189,11,49,1017
190,petiton_id_190,12,49,21
191,petiton_id_191,15,50,10
192,petiton_id_192,10,43,15
193,petiton_id_193,4,44,30
194,petiton_id_194,11,26,29
195,petiton_id_195,13,48,165
196,petiton_id_196,12,53,6
197,petiton_id_197,7,16,50
198,petiton_id_198,12,19,11
199,petiton_id_199,6,17,7
200,petiton_id_200,8,40,960
201,petiton_id_201,13,45,107
202,petiton_id_202,13,41,15
203,petiton_id_203,11,58,1729
204,petiton_id_204,13,47,20
205,petiton_id_205,11,42,10851
206,petiton_id_206,13,35,219
207,petiton_id_207,10,49,332
208,petiton_id_208,14,45,446
209,petiton_id_209,9,47,750
210,petiton_id_210,16,27,42
211,petiton_id_211,13,52,27
212,petiton_id_212,8,38,153
213,petiton_id_213,13,53,28
214,petiton_id_214,5,49,58
215,petiton_id_215,5,43,95
216,petiton_id_216,13,51,297
217,petiton_id_217,15,47,14
218,petiton_id_218,11,51,29
219,petiton_id_219,9,50,76
220,petiton_id_220,12,55,22
221,petiton_id_221,15,53,142
222,petiton_id_222,12,54,27
223,petiton_id_223,13,18,168
224,petiton_id_224,10,57,18
225,petiton_id_225,7,53,87
226,petiton_id_226,6,48,3531
227,petiton_id_227,10,45,896
228,petiton_id_228,8,53,3083
229,petiton_id_229,10,54,14
230,petiton_id_230,7,50,13
231,petiton_id_231,11,22,45
232,petiton_id_232,8,57,8
233,petiton_id_233,11,44,317542
234,petiton_id_234,13,31,921
235,petiton_id_235,14,55,63
236,petiton_id_236,14,32,230
237,petiton_id_237,6,46,32
238,petiton_id_238,11,50,181
239,petiton_id_239,13,29,23
240,petiton_id_240,14,48,91
241,petiton_id_241,15,47,16
242,petiton_id_242,11,31,24
243,petiton_id_243,14,38,13
244,petiton_id_244,9,54,58
245,petiton_id_245,13,43,16
246,petiton_id_246,15,57,156
247,petiton_id_247,14,57,209
248,petiton_id_248,9,31,8816
249,petiton_id_249,13,48,8
250,petiton_id_250,12,23,63
251,petiton_id_251,10,43,1105
252,petiton_id_252,14,47,47
253,petiton_id_253,7,42,136
254,petiton_id_254,14,21,1361
255,petiton_id_255,12,48,1217
256,petiton_id_256,13,46,20
257,petiton_id_257,10,46,187
258,petiton_id_258,12,53,49
259,petiton_id_259,13,32,647
260,petiton_id_260,15,18,116
261,petiton_id_261,11,48,66
262,petiton_id_262,13,51,103
263,petiton_id_263,12,50,1751
264,petiton_id_264,8,56,9
265,petiton_id_265,12,45,172
266,petiton_id_266,10,40,318
267,petiton_id_267,9,42,28
268,petiton_id_268,13,54,299
269,petiton_id_269,8,48,79
270,petiton_id_270,13,50,39
271,petiton_id_271,8,45,33
272,petiton_id_272,10,54,15
273,petiton_id_273,10,58,31
274,petiton_id_274,13,47,60
275,petiton_id_275,12,44,72
276,petiton_id_276,10,51,163
277,petiton_id_277,9,32,116
278,petiton_id_278,3,49,23414
279,petiton_id_279,16,57,11
280,petiton_id_280,11,34,10
281,petiton_id_281,10,41,10394
282,petiton_id_282,8,21,62
283,petiton_id_283,5,32,18
284,petiton_id_284,11,59,444
285,petiton_id_285,10,49,11
286,petiton_id_286,14,51,43
287,petiton_id_287,9,34,38
288,petiton_id_288,10,56,11
289,petiton_id_289,13,53,30
290,petiton_id_290,10,25,2217
291,petiton_id_291,13,49,75
292,petiton_id_292,13,51,269157
293,petiton_id_293,15,41,589
294,petiton_id_294,9,40,63
295,petiton_id_295,9,16,17
296,petiton_id_296,11,46,47
297,petiton_id_297,9,43,9
298,petiton_id_298,14,57,925
299,petiton_id_299,11,53,16
300,petiton_id_300,14,37,30
301,petiton_id_301,15,47,3642
302,petiton_id_302,11,51,8
303,petiton_id_303,12,52,522
304,petiton_id_304,14,48,34
305,petiton_id_305,11,57,29
306,petiton_id_306,13,48,18
307,petiton_id_307,7,35,52
308,petiton_id_308,15,56,15057
309,petiton_id_309,15,51,119
310,petiton_id_310,10,32,39
311,petiton_id_311,11,55,54
312,petiton_id_312,7,49,8014
313,petiton_id_313,7,45,2194
314,petiton_id_314,9,57,56
315,petiton_id_315,10,44,1777
316,petiton_id_316,14,41,12
317,petiton_id_317,13,49,12807
318,petiton_id_318,10,42,48
319,petiton_id_319,12,29,46596
320,petiton_id_320,11,26,11
321,petiton_id_321,14,52,13
322,petiton_id_322,13,50,666
323,petiton_id_323,14,42,9
324,petiton_id_324,12,46,34
325,petiton_id_325,10,43,91
326,petiton_id_326,13,55,595
327,petiton_id_327,5,50,47
328,petiton_id_328,10,49,95
329,petiton_id_329,9,52,1044
330,petiton_id_330,15,49,15
331,petiton_id_331,11,49,11
332,petiton_id_332,15,49,49
333,petiton_id_333,10,45,15
334,petiton_id_334,8,29,55
335,petiton_id_335,11,54,871
336,petiton_id_336,12,43,101
337,petiton_id_337,9,42,452
338,petiton_id_338,10,45,298
339,petiton_id_339,10,23,12026
340,petiton_id_340,14,49,39
341,petiton_id_341,10,32,424
342,petiton_id_342,12,55,140
343,petiton_id_343,12,52,103
344,petiton_id_344,15,52,11
345,petiton_id_345,9,16,38
346,petiton_id_346,14,48,3104
347,petiton_id_347,10,15,8
348,petiton_id_348,12,53,10
349,petiton_id_349,3,5,8
350,petiton_id_350,12,39,32
351,petiton_id_351,12,56,148
352,petiton_id_352,10,49,1410
353,petiton_id_353,9,29,16
354,petiton_id_354,13,51,177
355,petiton_id_355,10,49,75
356,petiton_id_356,11,49,78
357,petiton_id_357,5,45,13
358,petiton_id_358,13,48,123
359,petiton_id_359,13,46,13
360,petiton_id_360,13,50,343
361,petiton_id_361,11,46,28
362,petiton_id_362,11,34,12
363,petiton_id_363,8,46,12
364,petiton_id_364,11,48,38
365,petiton_id_365,7,52,449
366,petiton_id_366,9,52,93
367,petiton_id_367,12,16,10
368,petiton_id_368,9,48,16
369,petiton_id_369,11,52,17
370,petiton_id_370,12,39,15
371,petiton_id_371,15,40,29
372,petiton_id_372,12,42,222
373,petiton_id_373,12,52,6744
374,petiton_id_374,13,40,25
375,petiton_id_375,14,48,50
376,petiton_id_376,11,43,11
377,petiton_id_377,13,39,128002
378,petiton_id_378,12,48,12
379,petiton_id_379,8,46,36
380,petiton_id_380,6,43,19668
381,petiton_id_381,9,43,33
382,petiton_id_382,16,54,16
383,petiton_id_383,14,49,4165
384,petiton_id_384,12,55,25
385,petiton_id_385,9,48,31
386,petiton_id_386,14,44,11
387,petiton_id_387,16,51,62
388,petiton_id_388,7,36,136
389,petiton_id_389,11,43,51
390,petiton_id_390,17,56,33
391,petiton_id_391,10,57,48
392,petiton_id_392,10,57,102
393,petiton_id_393,12,51,2355
394,petiton_id_394,15,37,40
395,petiton_id_395,13,55,8
396,petiton_id_396,7,60,190
397,petiton_id_397,11,47,385
398,petiton_id_398,15,36,198
399,petiton_id_399,13,49,15
400,petiton_id_400,11,49,113
401,petiton_id_401,10,45,40
402,petiton_id_402,6,47,10
403,petiton_id_403,13,43,23
404,petiton_id_404,12,24,1338
405,petiton_id_405,7,28,13
406,petiton_id_406,14,37,90
407,petiton_id_407,13,19,26
408,petiton_id_408,13,56,33
409,petiton_id_409,10,43,12
410,petiton_id_410,6,44,800
411,petiton_id_411,8,56,779
412,petiton_id_412,14,51,63
413,petiton_id_413,14,14,10
414,petiton_id_414,10,35,30
415,petiton_id_415,10,45,382
416,petiton_id_416,12,51,9
417,petiton_id_417,12,44,3032
418,petiton_id_418,11,50,1247
419,petiton_id_419,11,40,30
420,petiton_id_420,14,12,16
421,petiton_id_421,3,44,509
422,petiton_id_422,14,45,989
423,petiton_id_423,7,50,3276
424,petiton_id_424,10,53,11
425,petiton_id_425,6,49,123
426,petiton_id_426,15,40,166
427,petiton_id_427,10,42,249
428,petiton_id_428,12,48,895
429,petiton_id_429,14,50,24
430,petiton_id_430,13,47,32
431,petiton_id_431,8,50,16671
432,petiton_id_432,10,41,47
433,petiton_id_433,5,57,109
434,petiton_id_434,12,34,281
435,petiton_id_435,14,56,17
436,petiton_id_436,13,29,42
437,petiton_id_437,11,48,53
438,petiton_id_438,8,50,27
439,petiton_id_439,13,53,72
440,petiton_id_440,9,50,127
441,petiton_id_441,14,50,83
442,petiton_id_442,11,35,47
443,petiton_id_443,9,48,15
444,petiton_id_444,15,50,3240
445,petiton_id_445,7,48,19
446,petiton_id_446,12,39,19069
447,petiton_id_447,13,51,528
448,petiton_id_448,4,30,11
449,petiton_id_449,12,53,682
450,petiton_id_450,14,47,9
451,petiton_id_451,11,48,43
452,petiton_id_452,12,31,9
453,petiton_id_453,11,51,254
454,petiton_id_454,9,44,68
455,petiton_id_455,9,12,69
456,petiton_id_456,16,50,29
457,petiton_id_457,5,49,17
458,petiton_id_458,9,28,36
459,petiton_id_459,11,34,29
460,petiton_id_460,9,47,7
461,petiton_id_461,6,52,125
462,petiton_id_462,12,53,14
463,petiton_id_463,15,50,192
464,petiton_id_464,16,52,14
465,petiton_id_465,9,52,149
466,petiton_id_466,7,53,6589
467,petiton_id_467,7,51,12046
468,petiton_id_468,6,26,4386
469,petiton_id_469,14,33,40
470,petiton_id_470,12,56,16
471,petiton_id_471,14,8,93
472,petiton_id_472,11,40,1138
473,petiton_id_473,12,49,34
474,petiton_id_474,13,51,74
475,petiton_id_475,14,55,13
476,petiton_id_476,10,49,57
477,petiton_id_477,7,30,11
478,petiton_id_478,11,27,1036
479,petiton_id_479,6,47,216949
480,petiton_id_480,12,59,2748
481,petiton_id_481,7,41,31
