,petition_id,should,their,people,government,would,children,being,which,public,years,Government,British,there,other,referendum,health,these,school,child,There,those
0,petiton_id_0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,petiton_id_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,petiton_id_2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,petiton_id_3,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,petiton_id_4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,petiton_id_5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,petiton_id_6,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,petiton_id_7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,petiton_id_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,petiton_id_9,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,petiton_id_10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,petiton_id_11,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
12,petiton_id_12,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
13,petiton_id_13,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
14,petiton_id_14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,petiton_id_15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
16,petiton_id_16,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
17,petiton_id_17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,petiton_id_18,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
19,petiton_id_19,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
20,petiton_id_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,petiton_id_21,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,petiton_id_22,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
23,petiton_id_23,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
24,petiton_id_24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,petiton_id_25,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
26,petiton_id_26,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,petiton_id_27,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0
28,petiton_id_28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,petiton_id_29,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,petiton_id_30,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
31,petiton_id_31,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,petiton_id_32,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
